Book,Chapter,Audio Duration (s),RMS Energy,Silence Fraction,Word Count,Readability Score,Words Per Second (WPS)
2Thess,Chapter_2,195.312,0.16322471,0.30212941345129846,297,111.88,1.5206438928483657
2Thess,Chapter_1,147.12,0.16946687,0.31032178946891426,222,108.94,1.5089722675367048
2Thess,Chapter_3,165.48,0.16685228,0.3120049754250262,243,112.39,1.468455402465555
1Tim,Chapter_6,233.904,0.15147403,0.30638459937980256,332,111.98,1.4193857308981463
1Tim,Chapter_4,146.472,0.15549183,0.30496329218781293,199,113.81,1.3586214430061718
1Tim,Chapter_5,217.608,0.15600726,0.2926899133610284,344,112.8,1.580824234403147
1Tim,Chapter_2,130.848,0.1604588,0.3177105623828157,165,112.39,1.2610051357300072
1Tim,Chapter_1,209.952,0.16337644,0.296245491032871,299,110.56,1.4241350403901845
1Tim,Chapter_3,160.896,0.16257837,0.28545043589233626,224,113.81,1.3922036595067622
2John,Chapter_1,129.984,0.1616271,0.31965697060150994,193,112.39,1.4847981290004924
Acts,Chapter_6,155.832,0.16187106,0.29089339801837877,223,110.36,1.4310282868730428
Acts,Chapter_19,399.0,0.1659147,0.26070175438596493,654,110.36,1.6390977443609023
Acts,Chapter_25,254.64,0.16566473,0.24635776652005445,473,109.95,1.8575243480992776
Acts,Chapter_9,393.288,0.15461619,0.27966877962205816,640,111.58,1.6273061980024817
Acts,Chapter_11,258.432,0.17052065,0.29448833090845306,402,110.87,1.5555349182763742
Acts,Chapter_22,287.736,0.1684896,0.24221638932910725,490,110.36,1.7029499263213501
Acts,Chapter_8,340.008,0.16741136,0.2997656182599625,527,112.49,1.549963530269876
Acts,Chapter_12,250.464,0.16591817,0.29808026303181295,412,111.78,1.6449469784080746
Acts,Chapter_24,245.496,0.15525001,0.2558509099944602,426,109.55,1.7352624890018573
Acts,Chapter_28,311.448,0.16367881,0.29471546346955724,545,110.46,1.7498908324985232
Acts,Chapter_20,355.296,0.16545233,0.26842747549461105,573,109.04,1.6127398000540394
Acts,Chapter_21,384.936,0.16897877,0.2481349713545455,646,111.27,1.6782010516033836
Acts,Chapter_13,496.296,0.18492389,0.2796717248040148,775,110.66,1.561568096458565
Acts,Chapter_16,374.928,0.16217552,0.28330239405965946,601,111.17,1.6029744377587163
Acts,Chapter_18,281.592,0.16897681,0.29929827551919086,456,110.66,1.6193641864825705
Acts,Chapter_17,338.592,0.16605112,0.24924109744668116,577,112.29,1.7041158680654003
Acts,Chapter_27,383.616,0.15605444,0.28940833194305415,652,111.37,1.6996162829496164
Acts,Chapter_4,337.296,0.16842759,0.29308616665085463,488,110.97,1.446800436411935
Acts,Chapter_14,254.472,0.16290987,0.2994329107590095,380,108.94,1.493288063126788
Acts,Chapter_5,383.592,0.16653883,0.2779593943565038,592,111.88,1.5433064297482744
Acts,Chapter_2,443.784,0.15295954,0.3105513230160018,624,111.98,1.4060894489210969
Acts,Chapter_23,326.52,0.16755803,0.2476879925680918,575,110.77,1.7609947323288009
Acts,Chapter_1,274.584,0.15205723,0.33800206251396053,406,109.34,1.478600355446785
Acts,Chapter_3,252.24,0.15737164,0.30165070964161117,380,111.78,1.5065017443704407
Acts,Chapter_15,364.896,0.16272384,0.27373781387938845,565,109.24,1.5483863895466106
Acts,Chapter_10,449.856,0.16144556,0.30050597672736756,712,111.78,1.5827286954047517
Acts,Chapter_26,285.672,0.16613631,0.24918890079065034,505,109.75,1.7677616287210505
Acts,Chapter_7,569.544,0.16726696,0.26937558818985013,890,112.29,1.5626536316772717
Jude,Chapter_1,291.792,0.15682466,0.29199838126702127,443,111.78,1.5182047485880354
Mark,Chapter_6,519.264,0.14711706,0.29497792388200733,849,112.29,1.6350064706969865
Mark,Chapter_9,442.968,0.13958287,0.30901291590664187,764,113.81,1.7247295515703165
Mark,Chapter_11,287.856,0.14535607,0.28626610759083243,508,113.61,1.764771274526152
Mark,Chapter_8,348.0,0.14612854,0.29961518199233717,590,113.81,1.6954022988505748
Mark,Chapter_12,427.92,0.14319843,0.3071940043310276,720,113.61,1.6825574873808187
Mark,Chapter_13,319.584,0.14461777,0.300391811438203,517,114.01,1.6177280464603985
Mark,Chapter_16,184.8,0.14146966,0.318037968975469,320,113.51,1.7316017316017316
Mark,Chapter_4,350.784,0.14477384,0.3269795895289789,555,114.62,1.5821702244116038
Mark,Chapter_14,646.824,0.13910365,0.30456417304655775,1124,113.61,1.7377215440367086
Mark,Chapter_5,361.248,0.14783049,0.2940768299524611,602,114.01,1.6664452121534237
Mark,Chapter_2,281.448,0.1469065,0.3179256618155633,449,113.51,1.5953213382223361
Mark,Chapter_1,411.744,0.14012942,0.331944828987591,609,113.0,1.4790743763114944
Mark,Chapter_3,291.0,0.15271924,0.3157498568155785,457,112.59,1.570446735395189
Mark,Chapter_15,361.776,0.14333451,0.30185379442896526,634,113.0,1.7524656140816417
Mark,Chapter_10,459.792,0.14268917,0.29696154275556486,781,114.01,1.6985941469186068
Mark,Chapter_7,328.176,0.14997537,0.3000964675458697,526,112.49,1.60279849836673
Gal,Chapter_6,153.528,0.16542058,0.3037412828061765,249,112.09,1.6218539940597156
Gal,Chapter_4,269.376,0.16135278,0.2781233294725588,419,113.4,1.5554466619149443
Gal,Chapter_5,207.96,0.1699471,0.3008747675835097,317,113.3,1.5243316022311983
Gal,Chapter_2,243.96,0.16563998,0.2753309968847352,389,110.66,1.5945236924085915
Gal,Chapter_1,202.2,0.14964803,0.30187685459940655,344,109.75,1.7012858555885264
Gal,Chapter_3,289.464,0.1638192,0.27226730554864625,403,112.9,1.3922283945499268
2Pet,Chapter_2,263.76,0.15133974,0.25877770827014457,419,111.88,1.5885653624507128
2Pet,Chapter_1,188.328,0.15907235,0.2729643671325206,333,107.52,1.7681916656046897
2Pet,Chapter_3,206.088,0.15474033,0.2829796413829691,336,110.06,1.630371491789915
2Cor,Chapter_6,172.488,0.17649534,0.31641379883431503,244,114.72,1.4145911599647512
2Cor,Chapter_9,157.056,0.16157486,0.27392697509168706,262,111.58,1.6681947840260798
2Cor,Chapter_11,323.856,0.15361878,0.2952730791874578,503,113.61,1.5531594288819723
2Cor,Chapter_8,228.504,0.16248015,0.29133680373210097,377,112.69,1.6498617092042154
2Cor,Chapter_12,250.92,0.15306473,0.3036313034698974,393,113.91,1.5662362505978003
2Cor,Chapter_13,141.936,0.15959875,0.3033993607447488,219,114.32,1.5429489347311462
2Cor,Chapter_4,175.392,0.16665915,0.2924981375053214,272,111.58,1.5508118956394819
2Cor,Chapter_5,209.136,0.15904981,0.30055581854232016,328,113.2,1.5683574324841252
2Cor,Chapter_2,155.928,0.16808651,0.27251947480033517,239,112.49,1.5327587091478119
2Cor,Chapter_1,251.448,0.17616867,0.2859438134325984,411,113.0,1.634532786102892
2Cor,Chapter_3,168.6,0.16170712,0.3010117635429023,264,111.88,1.5658362989323844
2Cor,Chapter_10,175.416,0.16090757,0.29250918768337364,274,111.58,1.562001185752725
2Cor,Chapter_7,209.328,0.1616603,0.3002482945425361,342,114.12,1.6337995872506306
Mat,Chapter_6,348.408,0.1662875,0.29198107295661024,525,114.52,1.5068540332024523
Mat,Chapter_19,318.408,0.15386927,0.3157917671666541,481,112.09,1.5106404361699455
Mat,Chapter_25,427.2,0.15417597,0.296067318196005,688,112.8,1.6104868913857677
Mat,Chapter_9,375.888,0.15155832,0.3139937960243477,564,113.71,1.5004469416421913
Mat,Chapter_11,293.352,0.15945713,0.3170093721308644,442,113.81,1.5067222994900327
Mat,Chapter_22,370.32,0.15725477,0.30012770486786206,575,112.49,1.5527111687189459
Mat,Chapter_8,352.992,0.16304064,0.3156165720469586,513,114.12,1.4532907261354364
Mat,Chapter_12,487.488,0.14690924,0.3100664358233775,739,112.69,1.5159347512143888
Mat,Chapter_24,405.912,0.15364681,0.29032770649796014,642,112.49,1.5816236031455095
Mat,Chapter_28,174.048,0.15735199,0.3134188078384507,275,112.59,1.5800239014524728
Mat,Chapter_20,323.712,0.14728089,0.3202774894556478,516,111.98,1.5940094899169632
Mat,Chapter_21,477.744,0.14773032,0.2952198248434308,770,112.8,1.611741853377541
Mat,Chapter_13,551.808,0.15423913,0.3085191467563597,844,113.81,1.5295175133379726
Mat,Chapter_16,298.008,0.15368038,0.30370954806582373,445,111.17,1.493248503395882
Mat,Chapter_18,347.592,0.14970794,0.3149334085172655,552,110.06,1.5880687702824001
Mat,Chapter_17,277.488,0.1436892,0.32498567505621867,421,112.49,1.5171827250187395
Mat,Chapter_27,552.264,0.15164882,0.29134126371928404,906,111.98,1.6405197514232324
Mat,Chapter_4,253.08,0.14809495,0.3323772785943839,358,112.19,1.414572467204046
Mat,Chapter_14,282.24,0.15242018,0.31500909391534393,456,112.19,1.6156462585034013
Mat,Chapter_5,442.368,0.161993,0.28311618757836615,666,113.91,1.5055338541666667
Mat,Chapter_2,256.392,0.15575765,0.32297435827430915,360,112.09,1.4040999719180005
Mat,Chapter_23,391.368,0.17055272,0.3046918117986141,584,113.1,1.492201712965802
Mat,Chapter_1,243.168,0.14450845,0.3847573145589332,329,116.45,1.3529740755362547
Mat,Chapter_3,175.848,0.15411925,0.32807832142911303,254,113.61,1.4444292798325826
Mat,Chapter_15,346.944,0.14396329,0.3266682327215151,537,112.69,1.5478002213613724
Mat,Chapter_10,400.32,0.16240183,0.3172728483879563,546,113.61,1.3639088729016786
Mat,Chapter_26,687.024,0.14530793,0.306772943885512,1130,112.29,1.644775146137544
Mat,Chapter_7,265.632,0.16129534,0.3016311099566317,394,114.72,1.4832550295145164
John,Chapter_6,560.112,0.14955342,0.28985482665371687,957,114.12,1.70858685405776
John,Chapter_19,418.776,0.15533672,0.3219642879884871,708,111.68,1.6906412974955585
John,Chapter_9,388.608,0.15550491,0.33546669565903603,634,114.52,1.631464097496706
John,Chapter_11,479.28,0.14788394,0.3211181355366383,770,112.19,1.6065765314638625
John,Chapter_8,524.544,0.14723703,0.29129022859219944,932,115.33,1.7767813567593949
John,Chapter_12,464.832,0.15464285,0.32422448683968974,744,113.1,1.600578273440727
John,Chapter_20,314.808,0.15385088,0.310004166560782,530,114.32,1.6835658560138242
John,Chapter_21,306.984,0.15033321,0.3327925885388164,489,113.71,1.5929168946915802
John,Chapter_13,370.032,0.15513635,0.32441800078551764,601,113.0,1.6241838543693519
John,Chapter_16,327.768,0.16029844,0.320377141758805,543,113.2,1.6566595884894195
John,Chapter_18,411.48,0.1526026,0.32526115080522344,684,112.59,1.6622922134733158
John,Chapter_17,263.736,0.15273492,0.32372129073517963,438,111.37,1.6607516607516608
John,Chapter_4,443.76,0.13808493,0.29727499098611865,783,114.22,1.7644672796106005
John,Chapter_14,299.208,0.16990732,0.3282109212766147,488,115.03,1.6309724338921419
John,Chapter_5,408.048,0.14604971,0.29572858666954216,720,114.32,1.7644982943183154
John,Chapter_2,219.504,0.14384674,0.3047564053502442,366,114.12,1.6673955827684235
John,Chapter_1,424.968,0.14474568,0.32284921060723004,740,114.12,1.741307580806084
John,Chapter_3,325.896,0.14373322,0.3049496618553158,544,113.61,1.6692441760561652
John,Chapter_15,248.112,0.15434805,0.3304979202940607,401,113.91,1.6162055845747083
John,Chapter_10,356.184,0.14542499,0.33047420715135994,570,114.22,1.6002964759787075
John,Chapter_7,419.76,0.14677249,0.2885157590051458,706,114.52,1.6819134743663047
1Thess,Chapter_4,197.496,0.16343327,0.29646402121224397,279,111.78,1.4126868392271235
1Thess,Chapter_5,215.208,0.16048561,0.3226667146822299,300,114.62,1.3940002230400357
1Thess,Chapter_2,228.624,0.15802069,0.3160498606153918,338,112.39,1.4784099657078873
1Thess,Chapter_1,133.032,0.15650664,0.29664980355603665,207,109.14,1.5560165975103732
1Thess,Chapter_3,145.776,0.17294136,0.2716436519042915,228,102.95,1.564043463944682
2Tim,Chapter_4,192.936,0.15631327,0.3044714309408301,289,114.52,1.4979060413815979
2Tim,Chapter_2,236.544,0.15539394,0.29822376245716087,338,112.69,1.428909632034632
2Tim,Chapter_1,182.592,0.15820885,0.3106983967899287,284,110.26,1.5553803014370837
2Tim,Chapter_3,174.936,0.15401262,0.3142387311169037,232,111.07,1.3261992957424429
1Pet,Chapter_4,237.552,0.13846263,0.33945725567454704,282,112.69,1.1871085067690443
1Pet,Chapter_5,169.032,0.1460077,0.3523990033445344,209,113.71,1.2364522693927775
1Pet,Chapter_2,315.816,0.14556752,0.35361505327996895,379,113.1,1.2000658611343316
1Pet,Chapter_1,354.264,0.1509752,0.358440198082033,450,112.09,1.2702391436894518
1Pet,Chapter_3,303.36,0.14586255,0.3544274953850211,370,113.71,1.2196729957805907
Phil,Chapter_1,272.256,0.15823865,0.29263006753447734,442,111.27,1.623472026328162
1John,Chapter_4,215.52,0.15435673,0.2954393250433061,338,115.23,1.5682999257609502
1John,Chapter_5,183.624,0.15505108,0.3109626646480489,302,115.23,1.6446651853788177
1John,Chapter_2,302.256,0.16442087,0.30924889277080797,474,114.12,1.5682070827378118
1John,Chapter_1,115.92,0.15672915,0.3269790947780078,161,112.59,1.3888888888888888
1John,Chapter_3,226.824,0.1622855,0.29472557283767736,377,114.12,1.6620816139385601
1Cor,Chapter_6,208.152,0.16100477,0.29370023668601153,323,113.1,1.551750643760329
1Cor,Chapter_9,279.576,0.17925856,0.254055247946891,451,114.01,1.6131570664148567
1Cor,Chapter_11,295.08,0.16394468,0.2886266718629976,477,112.9,1.6165107767385116
1Cor,Chapter_8,150.24,0.16266127,0.2804293685658502,252,111.98,1.6773162939297124
1Cor,Chapter_12,264.96,0.1649352,0.2796640687902576,401,112.09,1.5134359903381644
1Cor,Chapter_13,126.216,0.17626388,0.29447534385497875,173,114.62,1.370666159599417
1Cor,Chapter_16,187.896,0.17180869,0.27393034799392574,308,113.51,1.6392046664112063
1Cor,Chapter_4,233.64,0.1657824,0.307723063973064,351,113.3,1.50231124807396
1Cor,Chapter_14,386.352,0.17392665,0.25335963059593325,594,113.0,1.537458069325382
1Cor,Chapter_5,141.168,0.16362418,0.2875412628924402,223,111.98,1.5796781140201746
1Cor,Chapter_2,173.352,0.16909169,0.29613181080499024,248,112.19,1.4306151645207439
1Cor,Chapter_1,267.024,0.16531216,0.28256495670801124,424,111.78,1.5878722511834142
1Cor,Chapter_3,211.68,0.15919471,0.3168489386495339,322,114.22,1.5211640211640212
1Cor,Chapter_15,481.032,0.17316805,0.272769015366961,767,113.71,1.5944885163565004
1Cor,Chapter_10,288.696,0.17385156,0.2453870160999806,450,113.4,1.5587330617673953
1Cor,Chapter_7,410.328,0.16267124,0.29023539298642387,706,113.0,1.7205747597044316
Php,Chapter_4,222.024,0.1740023,0.29781953002077854,335,113.51,1.5088458905343567
Php,Chapter_2,274.824,0.15690434,0.29197307488914115,403,111.48,1.4663930369982243
Php,Chapter_1,272.256,0.15823865,0.29263006753447734,442,111.27,1.623472026328162
Php,Chapter_3,249.912,0.15631227,0.2864303234738628,338,114.12,1.352476071577195
Jas,Chapter_4,180.336,0.15164165,0.31649739929908616,252,115.64,1.39739153579984
Jas,Chapter_5,202.32,0.14905994,0.30315795110056676,309,114.01,1.5272835112692764
Jas,Chapter_2,244.104,0.14813389,0.3134686786506298,384,111.98,1.573099990168125
Jas,Chapter_1,255.936,0.15058403,0.31815245478036175,384,113.4,1.5003750937734432
Jas,Chapter_3,178.416,0.14934136,0.30550441103936865,263,113.61,1.474083041879652
Luke,Chapter_6,460.848,0.13669947,0.32034531993195153,808,113.61,1.7532895878901502
Luke,Chapter_19,377.832,0.13257657,0.3079579680916386,682,112.49,1.8050350420292618
Luke,Chapter_9,577.584,0.13923663,0.30015901006029716,960,113.0,1.6620959029335993
Luke,Chapter_11,515.88,0.13895826,0.3001276944250601,871,112.49,1.688377141971001
Luke,Chapter_22,563.544,0.13441253,0.30755510365354494,906,113.71,1.6076828073761766
Luke,Chapter_8,544.2,0.13938677,0.30624280289109396,942,113.61,1.730981256890849
Luke,Chapter_12,505.344,0.14343025,0.3199143388793904,853,113.2,1.6879590932117527
Luke,Chapter_24,402.648,0.13478692,0.30690981949494345,662,113.0,1.644115952395144
Luke,Chapter_20,376.488,0.13180906,0.31682705247798953,617,112.9,1.6388304540914982
Luke,Chapter_21,302.016,0.14322065,0.3065368777371618,481,114.22,1.5926308539944902
Luke,Chapter_13,336.648,0.1429953,0.31109014460207696,580,112.09,1.7228678025712316
Luke,Chapter_16,317.976,0.14182153,0.3030442287048918,541,114.01,1.7013862681460237
Luke,Chapter_18,375.672,0.13247043,0.31870377172994885,630,113.3,1.6769948252731104
Luke,Chapter_17,314.352,0.13810195,0.31399354863337914,538,112.49,1.7114572199317963
Luke,Chapter_4,369.432,0.13638566,0.2977222465839451,629,113.2,1.70261374217718
Luke,Chapter_14,316.056,0.14059605,0.31182277296850347,533,112.59,1.6864100032905562
Luke,Chapter_5,350.064,0.13785703,0.3133715073053308,606,113.3,1.7311120252296721
Luke,Chapter_2,409.344,0.13762675,0.305846773536846,650,112.29,1.5879065040650406
Luke,Chapter_23,455.52,0.13410279,0.3061938370799672,740,113.51,1.6245170354759397
Luke,Chapter_1,580.728,0.13357186,0.3158221232659696,937,112.8,1.6134920306925102
Luke,Chapter_3,406.824,0.12947647,0.40372495231353117,591,117.36,1.4527166538847265
Luke,Chapter_15,284.376,0.13916719,0.31416900511998197,497,112.49,1.7476861619827273
Luke,Chapter_10,382.872,0.13913645,0.3102157291906085,669,112.69,1.7473202532439038
Luke,Chapter_7,467.376,0.13851427,0.31133917516803034,822,113.2,1.7587552634281607
Heb,Chapter_6,195.048,0.16348462,0.2744644907920102,308,109.75,1.5790984783232844
Heb,Chapter_9,355.992,0.14020948,0.3079160954927826,536,111.58,1.5056518124002787
Heb,Chapter_11,433.272,0.15394391,0.2660748713664088,668,113.71,1.5417566794069315
Heb,Chapter_8,162.72,0.14241414,0.30599496066863324,245,113.3,1.505653883972468
Heb,Chapter_12,337.2,0.15082692,0.2960063266113088,506,112.39,1.5005931198102016
Heb,Chapter_13,240.984,0.14801648,0.29701868173820667,373,114.62,1.5478206021976562
Heb,Chapter_4,180.36,0.15491563,0.28883483033932134,278,110.97,1.5413617210024395
Heb,Chapter_5,148.896,0.16021043,0.2882548893187191,232,111.07,1.5581345368579413
Heb,Chapter_2,202.224,0.1572087,0.2767059465411293,317,111.88,1.5675686367592374
Heb,Chapter_1,147.48,0.15927824,0.2714625146912576,242,114.01,1.6409004610794684
Heb,Chapter_3,178.992,0.1656216,0.281216013378624,270,112.09,1.508447304907482
Heb,Chapter_10,349.008,0.16308078,0.26735406733752043,587,111.78,1.6819098702608537
Heb,Chapter_7,309.936,0.14767082,0.2919067699998279,446,113.0,1.4390067626864902
Eph,Chapter_6,197.784,0.15776612,0.30034595821704485,281,112.09,1.4207418193584922
Eph,Chapter_4,262.968,0.16042498,0.27231339301106344,392,111.17,1.490675671564601
Eph,Chapter_5,247.368,0.16705346,0.2805718605478477,373,114.52,1.5078749070211184
Eph,Chapter_2,187.992,0.1641186,0.26270067343291204,301,111.27,1.601131963062258
Eph,Chapter_1,210.6,0.1832784,0.2707221430832542,343,109.34,1.6286799620132955
Eph,Chapter_3,166.032,0.1754261,0.26799653078924546,274,109.04,1.6502842825479425
Titus,Chapter_2,153.168,0.15856692,0.29516554806922246,211,112.09,1.3775723388697378
Titus,Chapter_1,186.888,0.14667414,0.31767600559336784,274,110.16,1.4661187449167414
Titus,Chapter_3,162.648,0.16414863,0.2919238683127572,235,110.26,1.4448379322217304
Rom,Chapter_6,226.248,0.15702444,0.30233250680669,324,112.8,1.4320568579611754
Rom,Chapter_9,322.992,0.15580627,0.3135179560690874,471,110.87,1.4582404517758953
Rom,Chapter_11,361.68,0.16469127,0.3000516110005161,543,112.69,1.5013271400132713
Rom,Chapter_8,381.168,0.15975,0.29024144209377495,559,112.09,1.4665449355664693
Rom,Chapter_12,193.392,0.16569905,0.3143169055596922,265,115.33,1.3702738479357988
Rom,Chapter_13,158.592,0.16781388,0.32290615751950497,249,113.2,1.5700665859564162
Rom,Chapter_16,245.952,0.15279412,0.3358407670331338,346,114.12,1.4067785584179027
Rom,Chapter_4,259.008,0.1544532,0.2929240280866485,379,109.85,1.463275265628861
Rom,Chapter_14,221.232,0.1539572,0.327657542007184,346,114.22,1.5639690460692848
Rom,Chapter_5,250.512,0.15750232,0.30842151939494583,372,110.06,1.484958804368653
Rom,Chapter_2,269.016,0.15516858,0.3150189022214292,400,111.78,1.4869004074107115
Rom,Chapter_1,358.728,0.1461605,0.3305437313693569,520,109.65,1.4495662451774045
Rom,Chapter_3,288.264,0.154412,0.31565596120223127,383,114.32,1.328643188188605
Rom,Chapter_15,323.544,0.15424183,0.31662823809641555,491,108.74,1.517567935118562
Rom,Chapter_10,203.256,0.15724196,0.30360952854200285,312,113.91,1.5350100366040855
Rom,Chapter_7,245.808,0.16012453,0.3082122700101977,396,111.88,1.611013473930873
Rev,Chapter_6,235.632,0.14713474,0.3528537083248455,329,113.2,1.3962449921912135
Rev,Chapter_19,282.72,0.14714475,0.33643092105263156,407,113.61,1.4395868704018109
Rev,Chapter_9,266.76,0.14978188,0.34277612210726244,403,113.3,1.510721247563353
Rev,Chapter_11,272.88,0.15142356,0.33826254519691196,392,113.2,1.4365288771621225
Rev,Chapter_22,246.216,0.15250508,0.34055243498933185,356,114.72,1.4458849140592
Rev,Chapter_8,190.008,0.15510696,0.3462599820358441,264,112.29,1.3894151825186307
Rev,Chapter_12,251.904,0.14865026,0.33618511417047764,369,113.91,1.46484375
Rev,Chapter_20,203.04,0.14412223,0.3325196595087996,302,114.22,1.487391646966115
Rev,Chapter_21,341.328,0.14445554,0.34453394779605934,488,114.22,1.429709839216238
Rev,Chapter_13,244.248,0.15073925,0.3276906736868538,354,113.2,1.449346565785595
Rev,Chapter_16,279.84,0.14991334,0.35244336049170955,384,113.2,1.37221269296741
Rev,Chapter_18,362.976,0.14191884,0.3516280461150783,511,113.1,1.407806576743366
Rev,Chapter_17,262.752,0.14670788,0.3610237346750294,389,114.01,1.4804834977469248
Rev,Chapter_4,173.4,0.14910333,0.36199730872741254,234,114.01,1.3494809688581315
Rev,Chapter_14,323.808,0.15154119,0.3307959500691768,466,113.51,1.4391244194090325
Rev,Chapter_5,204.168,0.15026541,0.3479399726369134,288,111.78,1.4106030327965204
Rev,Chapter_2,367.464,0.14985304,0.3595067589387441,539,113.4,1.4668103542115691
Rev,Chapter_1,264.024,0.14069088,0.38183160748012807,377,112.9,1.4279004938944944
Rev,Chapter_3,296.952,0.15028092,0.3431017470837038,429,113.51,1.4446779277458983
Rev,Chapter_15,126.48,0.1523184,0.34118207094665826,182,113.4,1.4389626818469323
Rev,Chapter_10,149.928,0.14907092,0.3476051838215677,230,113.61,1.5340696867829893
Rev,Chapter_7,234.072,0.15155204,0.34433724808321087,329,114.42,1.4055504289278513
Col,Chapter_4,177.12,0.16344312,0.3022797632490214,267,114.22,1.5074525745257452
Col,Chapter_2,265.056,0.15880345,0.2813836195621554,392,112.29,1.4789327538331523
Col,Chapter_1,313.224,0.16053766,0.2736067744915247,491,110.87,1.5675682578601895
Col,Chapter_3,233.4,0.16414705,0.3070772636389603,352,114.32,1.508140531276778
3John,Chapter_1,137.76,0.16502382,0.2954458841463415,207,114.12,1.5026132404181185
